date,student_id,status,time
2026-01-25,student_066,Absent,-
2026-01-25,student_051,Absent,-
2026-01-25,student_083,Present,14:08
2026-01-25,student_074,Absent,-
2026-01-25,student_012,Absent,-
2026-01-25,student_035,Absent,-
2026-01-25,student_075,Absent,-
2026-01-25,student_084,Absent,-
2026-01-25,student_060,Absent,-
2026-01-25,student_064,Absent,-
2026-01-25,student_095,Absent,-
2026-01-25,student_002,Present,14:08
2026-01-25,student_003,Absent,-
2026-01-25,student_006,Absent,-
2026-01-25,student_045,Absent,-
2026-01-25,student_057,Absent,-
2026-01-25,student_041,Absent,-
2026-01-25,student_033,Absent,-
2026-01-25,student_018,Present,14:08
2026-01-25,student_047,Absent,-
2026-01-25,student_025,Absent,-
2026-01-25,student_081,Absent,-
2026-01-25,student_030,Absent,-
2026-01-25,student_024,Present,14:08
2026-01-25,student_019,Absent,-
2026-01-25,student_097,Absent,-
2026-01-25,student_076,Absent,-
2026-01-25,student_065,Absent,-
2026-01-25,student_021,Absent,-
2026-01-25,student_086,Absent,-
2026-01-25,student_069,Absent,-
2026-01-25,student_055,Absent,-
2026-01-25,student_099,Absent,-
2026-01-25,student_070,Absent,-
2026-01-25,student_020,Absent,-
2026-01-25,student_061,Absent,-
2026-01-25,student_093,Absent,-
2026-01-25,student_063,Absent,-
2026-01-25,student_058,Absent,-
2026-01-25,student_011,Absent,-
2026-01-25,student_008,Absent,-
2026-01-25,student_017,Absent,-
2026-01-25,student_004,Absent,-
2026-01-25,student_056,Absent,-
2026-01-25,student_082,Absent,-
2026-01-25,student_068,Absent,-
2026-01-25,student_054,Absent,-
2026-01-25,student_022,Absent,-
2026-01-25,student_078,Absent,-
2026-01-25,student_028,Absent,-
2026-01-25,student_052,Absent,-
2026-01-25,student_013,Present,14:08
2026-01-25,student_089,Absent,-
2026-01-25,student_027,Absent,-
2026-01-25,student_032,Absent,-
2026-01-25,student_050,Absent,-
2026-01-25,student_007,Absent,-
2026-01-25,student_092,Absent,-
2026-01-25,student_016,Absent,-
2026-01-25,student_077,Absent,-
2026-01-25,student_009,Absent,-
2026-01-25,student_071,Absent,-
2026-01-25,student_043,Absent,-
2026-01-25,student_023,Absent,-
2026-01-25,student_072,Absent,-
2026-01-25,student_080,Absent,-
2026-01-25,student_036,Absent,-
2026-01-25,student_040,Absent,-
2026-01-25,student_098,Absent,-
2026-01-25,student_001,Absent,-
2026-01-25,student_049,Absent,-
2026-01-25,student_029,Absent,-
2026-01-25,student_067,Absent,-
2026-01-25,student_091,Absent,-
2026-01-25,student_053,Absent,-
2026-01-25,student_088,Absent,-
2026-01-25,student_044,Absent,-
2026-01-25,student_026,Absent,-
2026-01-25,student_037,Absent,-
2026-01-25,student_038,Absent,-
2026-01-25,student_015,Absent,-
2026-01-25,student_005,Absent,-
2026-01-25,student_042,Absent,-
2026-01-25,student_059,Absent,-
2026-01-25,student_048,Absent,-
2026-01-25,student_031,Absent,-
2026-01-25,student_096,Absent,-
2026-01-25,student_062,Absent,-
2026-01-25,student_014,Absent,-
2026-01-25,student_010,Absent,-
2026-01-25,student_090,Absent,-
2026-01-25,student_085,Absent,-
2026-01-25,student_046,Absent,-
2026-01-25,student_034,Absent,-
2026-01-25,student_087,Absent,-
2026-01-25,student_079,Absent,-
2026-01-25,student_073,Absent,-
2026-01-25,student_039,Absent,-
2026-01-25,student_100,Present,14:08
2026-01-25,student_094,Absent,-
